ID,Barcode,Title,Authors,Publisher,Pub Date,Binding,On Hand,Price
553280341,9914563562,B Is for Burglar,"Grafton, Sue",Crimeline,Nov-95,Paper Back,1,$1.00 
553280368,9914563538,C Is for Corpse (Kinsey Millhone Mysteries),"Grafton, Sue",Crimeline,May-87,Paper Back,1,$1.00 
679435328,9914750176,The Angel of Darkness,"Carr, Caleb",Random House,Sep-97,Hardcover,1,$3.00 
307743659,9914801331,The Shining,"King, Stephen",Anchor,12-Jun,Paper Back,1,$1.00 
1455553549,9914807348,Testimony,"Turow, Scott",Grand Central Publishing,17-May,Hardcover,1,$8.00 
374281602,9914827128,Reversible Errors: A Novel,"Turow, Scott","Farrar, Straus and Giroux",2-Nov,Hardcover,1,$3.00 
805098747,9914833241,Girl Unknown,"Perry, Karen",Henry Holt and Co.,18-Feb,Hardcover,1,$8.00 
1933372826,9914833454,A Novel Bookstore,"Cosse, Laurence",Europa Editions,10-Aug,Trade,1,$3.00 
525954341,9914833292,The Punishment She Deserves: A Lynley Novel,"George, Elizabeth",Viking,18-Mar,Hardcover,1,$8.00 
1501132938,9914848125,The Woman in Cabin Ten,"Ware, Ruth",Gallery/Scout Press,16-Jul,Hardcover,1,$5.00 
765385805,9914878709,Assassin's Code (David Slaton),"Larsen, Ward",Forge Books,17-Aug,Hardcover,1,$3.00 
143117491,9914881734,The Dead Lie Down: A Novel,"Hannah, Sophie",Penguin (Non-Classics),10-Jun,Trade,1,$3.00 
1101871350,9914883141,Precious and Grace: No. 1 Ladies' Detective Agency (17) (No. 1 Ladies' Detective Agency Series),"McCall Smith, Alexander",Pantheon,16-Oct,Hardcover,1,$5.00 
804169969,9914883338,The Winter People,"McMahon, Jennifer",Anchor,15-Jan,Trade,1,$3.00 
044619896X,9915194684,The Quickie,"Patterson, James, Ledwidge, Michael",Vision,9-Aug,Paper Back,1,$1.00 
425250733,9915195478,Calculated in Death,"Robb, J. D.",Berkley,13-Jul,Paper Back,1,$1.00 
425246892,991519546X,New York to Dallas (In Death),"Robb, J.D.",Berkley,12-Mar,Paper Back,1,$1.00 
1250000378,9912436040,Kings of Midnight,"Stroby, Wallace",Minotaur Books,12-Apr,Hardcover,1,$3.00 
312573502,9912453409,The Cruelest Month: A Chief Inspector Gamache Novel (Chief Inspector Gamache Novels),"Penny, Louise",Minotaur Books,11-Apr,Trade,2,$2.00 
385344228,9912507932,Defending Jacob: A Novel,"Landay, William",Delacorte Press,12-Jan,Hardcover,5,$3.00 
670018309,9912519019,Rumpole Misbehaves: A Novel (Rumpole Novels),"Mortimer, John",Viking Adult,7-Nov,Hardcover,1,$3.00 
743276752,9912521854,Three Stations: An Arkady Renko Novel (Arkady Renko Novels),"Smith, Martin Cruz",Gallery Books,11-Sep,Trade,1,$2.00 
727883585,9912532708,Lights Out! - A heist thriller involving the Mafia,"Bain, Donald",Severn House Publishers,14-Jun,Hardcover,1,$5.00 
162779347X,9913877148,Keep Calm: A Thriller,"Binder, Mike",Henry Holt and Co.,15-Aug,Hardcover,1,$3.00 
345542924,9913877121,Top Secret Twenty-One: A Stephanie Plum Novel,"Evanovich, Janet",Bantam,14-Jun,Hardcover,1,$3.00 
451409221,9913878004,The Medusa Stone (Philip Mercer),"Brul, Jack Du",Onyx,Apr-00,Paper Back,1,$1.00 
451409639,9913878225,Pandora's Curse (Philip Mercer),"Brul, Jack Du",Onyx,1-Sep,Paper Back,1,$1.00 
553591614,9913878594,Hiss of Death: A Mrs. Murphy Mystery,"Brown, Rita Mae",Bantam,12-Feb,Paper Back,1,$1.00 
671000306,991387906X,Shock Wave (Dirk Pitt Adventures),"Cussler, Clive",Pocket,Dec-96,Paper Back,1,$1.00 
9110318704,9913884535,,,,,Trade,1,$2.00 
385354207,9913888654,Midnight Sun: A novel,"Nesbo, Jo",Knopf,16-Feb,Hardcover,1,$1.00 
145558651X,9913895308,No Man's Land (John Puller Series),"Baldacci, David",Grand Central Publishing,16-Nov,Hardcover,1,$5.00 
316407062,9913895286,NYPD Red 4,"Patterson, James","Little, Brown and Company",16-Mar,Hardcover,1,$3.00 
399170898,991391101X,Brotherhood in Death,"Robb, J. D.",Berkley,16-Feb,library discard HC,1,$3.00 
145558116X,9913911354,FRICTION,"Brown, Sandra",N/A,15-Aug,Hardcover,1,$3.00 
525953493,9913913675,Missing You,"Coben, Harlan",Dutton Adult,14-Mar,Hardcover,1,$3.00 
553392719,9913918545,Wicked Charms: A Lizzy and Diesel Novel (Lizzy & Diesel),"Evanovich, Janet, Sutton, Phoef",Bantam,15-Mar,library discard HC,1,$3.00 
755334795,9913920876,The Interpretation of Murder,"Rubenfeld, Jed",Headline,7-Jan,Paper Back,1,$1.00 
1455599514,9913924359,You Should Have Known,"Korelitz, Jean Hanff",Grand Central Publishing,14-Sep,Trade,1,$2.00 
425279774,9913926041,Tom Clancy Full Force and Effect (A Jack Ryan Novel),"Greaney, Mark",Berkley,15-Oct,Paper Back,1,$1.00 
62127640,9913941946,Tarnished: The St. Croix Chronicles,"Cooper, Karina",Avon,12-Jun,Paper Back,1,$1.00 
312427743,9913950996,Tree of Smoke: A Novel,"Johnson, Denis",Picador,8-Sep,Trade,1,$2.00 
1101885335,9913951305,The Murderer's Daughter: A Novel,"Kellerman, Jonathan",Ballantine Books,16-Jun,Trade,1,$1.00 
62429051,9913955130,Pretty Girls: A Novel,"Slaughter, Karin",William Morrow,15-Sep,Hardcover,1,$3.00 
1101905603,9913967201,The Fifth Petal: A Novel,"Barry, Brunonia",Crown,17-Jan,Hardcover,1,$3.00 
515144347,9913978394,The Faithful Spy (A John Wells Novel),"Berenson, Alex",Jove,8-Jan,Paper Back,1,$1.00 
1616951699,9913978386,The Boy in the Suitcase (Nina Borg Mysteries),"Kaaberbol, Lene, Friis, Agnete",Soho Crime,12-Sep,Trade,1,$2.00 
1250072980,9913982588,Christmas in Eternity Springs,"March, Emily",St. Martin's Paperbacks,16-Oct,Paper Back,1,$1.00 
778326225,9913983177,The Secret Life of CeeCee Wilkes,"Chamberlain, Diane",Mira,16-May,Trade,1,$3.00 
62436686,9913994802,Chaos: A Scarpetta Novel,"Cornwell, Patricia",William Morrow,16-Nov,Hardcover,1,$5.00 
143113496,9913998239,In the Woods,"French, Tana",N/A,8-May,Trade,1,$3.00 
1250081300,9913998166,The Ice Queen: A Novel,"Neuhaus, Nele",Minotaur Books,15-Dec,Trade,1,$2.00 
1250049008,9913998263,Always Watching,"Stevens, Chevy",St. Martin's Griffin,14-May,Paper Back,1,$3.00 
765367777,9913998468,Blood Trust (Jack Mcclure/Alli Carson),"Lustbader, Eric Van",Forge Books,12-Jun,Trade,1,$1.00 
425251942,9914005527,The Wrong Man (Berkley Prime Crime),"Ellis, David",Berkley,12-Dec,Paper Back,1,$1.00 
61785660,9914005519,Bloodline: A Sigma Force Novel,"Rollins, James",Harper,13-Mar,Paper Back,1,$1.00 
451237765,9914005403,Opening Moves: The Bowers Files (Patrick Bowers),"James, Steven",Signet Select,12-Sep,Paper Back,1,$1.00 
451415930,9914005721,All Necessary Force: A Pike Logan Thriller,"Taylor, Brad",Signet Select,12-Dec,Paper Back,1,$1.00 
62025066,9914005705,Act of Deceit: A Harlan Donnally Novel,"Gore, Steven",Harper,11-Aug,Paper Back,1,$1.00 
034552652X,9914005896,The Columbus Affair: A Novel (with bonus short story The Admiral's Mark),"Berry, Steve",Ballantine Books,12-Dec,Paper Back,1,$2.00 
451237765,991400587X,Opening Moves: The Bowers Files (Patrick Bowers),"James, Steven",Signet Select,12-Sep,Paper Back,1,$1.00 
345502604,9914008380,The Alpine Winter (Emma Lord Mysteries),"Daheim, Mary",Ballantine Books,13-Feb,Paper Back,1,$1.00 
1420118536,9914008836,You Don't Want To Know,"Jackson, Lisa",Zebra,13-Mar,Paper Back,1,$1.00 
